beginning	5
god	5
heaven	5
earth	5
form	5
void	5
darkness	5
face	5
deep	5
spirit	5
waters	5
light	5
day	5
night	5
evening	5
morning	5
firmament	5
midst	5
place	5
land	5
appear	2
gathering	5
together	5
seas	5
grass	5
herb	5
seed	5
fruit	5
tree	5
kind	5
lights	5
signs	5
seasons	5
days	5
years	5
stars	5
creature	5
life	5
fowl	5
whales	1
living	5
moveth	1
multiply	5
forth	5
cattle	5
thing	5
beast	5
man	5
image	5
likeness	5
dominion	5
fish	5
sea	5
air	5
male	5
female	5
behold	5
yielding	1
meat	5
wherein	5
heavens	5
host	5
work	5
generations	5
lord	5
plant	5
field	5
ground	5
mist	3
dust	5
nostrils	5
breath	5
soul	5
garden	5
eastward	5
eden	5
sight	5
food	5
knowledge	5
river	5
water	5
thence	5
heads	5
name	5
pison	1
havilah	5
gold	5
bdellium	2
onyx	5
stone	5
gihon	5
ethiopia	5
hiddekel	2
east	5
assyria	5
euphrates	5
thou	5
eat	5
shalt	5
thereof	5
die	5
help	5
meet	5
adam	5
names	5
sleep	5
ribs	2
rib	5
woman	5
bone	5
bones	5
flesh	5
father	5
mother	5
wife	5
serpent	5
yea	5
hath	5
ye	5
trees	5
touch	5
eyes	5
gods	5
wise	5
husband	5
fig	5
aprons	2
voice	5
cool	1
presence	5
art	5
wast	5
hast	5
eaten	5
whereof	5
thee	5
thy	5
enmity	5
head	5
heel	5
sorrow	5
conception	3
children	5
desire	5
sake	5
thorns	5
sweat	3
bread	5
return	5
eve	4
unto	5
coats	5
skins	5
hand	5
whence	5
cherubims	5
flaming	5
sword	5
way	5
bare	5
cain	5
brother	5
abel	5
keeper	5
sheep	5
tiller	1
process	5
time	5
offering	5
firstlings	5
flock	5
respect	5
countenance	5
wroth	3
doest	5
sin	5
lieth	5
door	5
rule	5
blood	5
crieth	5
mouth	5
yield	5
strength	5
vagabond	3
punishment	5
one	5
slayeth	2
vengeance	5
sevenfold	3
mark	5
upon	5
dwelt	5
nod	1
enoch	5
city	5
son	5
irad	1
mehujael	1
methusael	1
lamech	5
wives	5
adah	5
zillah	3
jabal	1
dwell	5
tents	5
harp	5
organ	3
tubal-cain	1
instructer	1
artificer	2
brass	5
iron	5
sister	5
naamah	3
hear	5
hearken	5
speech	5
wounding	1
hurt	5
seventy	5
seth	5
slew	5
enos	4
men	5
book	5
sons	5
daughters	5
cainan	3
mahalaleel	4
sixty	5
begat	5
jared	3
ninety	5
methuselah	3
eighty	2
noah	5
toil	2
hands	5
shem	5
ham	5
japheth	5
giants	5
renown	5
wickedness	5
imagination	5
thoughts	5
heart	5
fowls	5
grace	5
perfect	5
violence	5
end	5
make	5
ark	5
gopher	1
wood	5
rooms	5
pitch	5
fashion	5
length	5
cubits	5
breadth	5
height	5
window	5
