beginning	93
god	4456
heaven	456
earth	974
form	23
void	13
darkness	144
face	411
deep	12
spirit	502
waters	285
light	196
day	1739
night	307
evening	50
morning	227
firmament	17
midst	364
place	703
land	1710
appear	2
gathering	5
together	5
seas	25
grass	61
herb	19
seed	280
fruit	206
tree	199
kind	45
lights	10
signs	53
seasons	12
days	868
years	539
stars	51
creature	29
life	450
fowl	30
whales	1
living	136
moveth	1
multiply	10
forth	420
cattle	150
thing	543
beast	178
man	2736
image	101
likeness	34
dominion	61
fish	24
sea	396
air	39
male	41
female	16
behold	831
yielding	1
meat	281
wherein	75
heavens	129
host	192
work	384
generations	118
lord	7954
plant	42
field	290
ground	192
mist	3
dust	99
nostrils	14
breath	41
soul	443
garden	52
eastward	23
eden	20
sight	329
food	55
knowledge	160
river	178
water	396
thence	143
heads	109
name	955
pison	1
havilah	7
gold	411
bdellium	2
onyx	6
stone	169
gihon	5
ethiopia	20
hiddekel	2
east	89
assyria	118
euphrates	17
thou	2932
eat	186
shalt	1068
thereof	638
die	47
help	55
meet	14
adam	30
names	96
sleep	47
ribs	2
rib	5
woman	368
bone	19
bones	99
flesh	323
father	1107
mother	316
wife	407
serpent	38
yea	222
hath	1257
ye	1730
trees	157
touch	7
eyes	501
gods	244
wise	188
husband	126
fig	31
aprons	2
voice	505
cool	1
presence	116
art	357
wast	41
hast	849
eaten	10
whereof	26
thee	2910
thy	695
enmity	6
head	362
heel	6
sorrow	60
conception	3
children	1818
desire	75
sake	142
thorns	50
sweat	3
bread	323
return	72
eve	4
unto	371
coats	14
skins	24
hand	1468
whence	65
cherubims	65
flaming	5
sword	423
way	663
bare	72
cain	19
brother	397
abel	16
keeper	21
sheep	155
tiller	1
process	5
time	619
offering	679
firstlings	6
flock	111
respect	23
countenance	53
wroth	3
doest	16
sin	342
lieth	11
door	189
rule	38
blood	442
crieth	6
mouth	415
yield	7
strength	242
vagabond	3
punishment	27
one	100
slayeth	2
vengeance	45
sevenfold	3
mark	32
upon	13
dwelt	106
nod	1
enoch	12
city	868
son	2386
irad	2
mehujael	2
methusael	2
lamech	12
wives	130
adah	8
zillah	3
jabal	1
dwell	76
tents	66
harp	30
organ	3
tubal-cain	2
instructer	1
artificer	2
brass	124
iron	101
sister	114
naamah	5
hear	104
hearken	41
speech	47
wounding	1
hurt	35
seventy	41
seth	8
slew	22
enos	7
men	1677
book	188
sons	1094
daughters	254
cainan	7
mahalaleel	7
sixty	13
begat	104
jared	5
ninety	17
methuselah	6
eighty	3
